time_stamp,gnb_id,UE-1 TP,UE-2 TP,UE-3 TP,UE-4 TP,UE-5 TP,UE-6 TP,UE-7 TP,UE-8 TP,UE-9 TP,UE-10 TP,UE-11 TP,Total_Throughput
27.50,AnchorGNB-1,550.00,5.00,0.00,5.00,20.00,10.00,10.00,160.00,10.00,2.00,,772.00
27.50,gNB-3,,,,,,,,,,,0.00,0.00
27.60,AnchorGNB-1,0.00,1.00,2.00,0.00,5.00,5.00,5.00,5.00,2.00,20.00,,45.00
27.60,gNB-3,,,,,,,,,,,10.00,10.00
27.70,AnchorGNB-1,20.00,0.00,1.00,1.00,5.00,5.00,70.00,1.00,0.00,20.00,,123.00
27.70,gNB-3,,,,,,,,,,,40.00,40.00
27.80,AnchorGNB-1,2.00,5.00,20.00,20.00,110.00,5.00,5.00,0.00,2.00,1.00,,170.00
27.80,gNB-3,,,,,,,,,,,20.00,20.00
27.90,AnchorGNB-1,20.00,0.00,40.00,110.00,5.00,40.00,2.00,20.00,2.00,1.00,,240.00
27.90,gNB-3,,,,,,,,,,,5.00,5.00
28.00,AnchorGNB-1,0.00,28.00,0.70,385.00,112.00,245.00,112.00,14.00,0.00,0.00,,896.70
28.00,gNB-3,,,,,,,,,,,0.00,0.00
28.10,AnchorGNB-1,0.00,350.00,1.00,40.00,110.00,40.00,550.00,160.00,0.00,40.00,,1291.00
28.10,gNB-3,,,,,,,,,,,1.00,1.00
28.20,AnchorGNB-1,0.00,70.00,160.00,280.00,160.00,220.00,70.00,280.00,5.00,40.00,,1285.00
28.20,gNB-3,,,,,,,,,,,5.00,5.00
28.30,AnchorGNB-1,0.00,70.00,220.00,220.00,220.00,110.00,220.00,160.00,40.00,2.00,,1262.00
28.30,gNB-3,,,,,,,,,,,10.00,10.00
28.40,AnchorGNB-1,40.00,70.00,40.00,70.00,110.00,110.00,10.00,20.00,40.00,2.00,,512.00
28.40,gNB-3,,,,,,,,,,,10.00,10.00
28.50,AnchorGNB-1,280.00,0.00,220.00,160.00,160.00,40.00,220.00,220.00,40.00,5.00,,1345.00
28.50,gNB-3,,,,,,,,,,,1.00,1.00
28.60,AnchorGNB-1,1.00,110.00,160.00,40.00,160.00,350.00,70.00,10.00,20.00,20.00,,941.00
28.60,gNB-3,,,,,,,,,,,0.00,0.00
28.70,AnchorGNB-1,20.00,220.00,110.00,40.00,160.00,40.00,70.00,40.00,40.00,10.00,,750.00
28.70,gNB-3,,,,,,,,,,,0.00,0.00
28.80,AnchorGNB-1,70.00,70.00,160.00,220.00,70.00,40.00,160.00,10.00,10.00,160.00,,970.00
28.80,gNB-3,,,,,,,,,,,20.00,20.00
28.90,AnchorGNB-1,160.00,5.00,40.00,70.00,160.00,160.00,160.00,1.00,280.00,5.00,,1041.00
28.90,gNB-3,,,,,,,,,,,0.00,0.00
29.00,AnchorGNB-1,28.00,77.00,385.00,385.00,385.00,294.00,154.00,196.00,28.00,28.00,,1960.00
29.00,gNB-3,,,,,,,,,,,1.40,1.40
29.10,AnchorGNB-1,70.00,160.00,550.00,550.00,550.00,480.00,550.00,160.00,20.00,40.00,,3130.00
29.10,gNB-3,,,,,,,,,,,70.00,70.00
29.20,AnchorGNB-1,40.00,110.00,550.00,550.00,550.00,550.00,220.00,220.00,350.00,5.00,,3145.00
29.20,gNB-3,,,,,,,,,,,20.00,20.00
29.30,AnchorGNB-1,220.00,220.00,420.00,550.00,550.00,480.00,550.00,70.00,2.00,40.00,,3102.00
29.30,gNB-3,,,,,,,,,,,110.00,110.00
29.40,AnchorGNB-1,70.00,220.00,70.00,550.00,550.00,350.00,70.00,70.00,110.00,40.00,,2100.00
29.40,gNB-3,,,,,,,,,,,20.00,20.00
29.50,AnchorGNB-1,40.00,420.00,10.00,550.00,550.00,280.00,420.00,20.00,160.00,2.00,,2452.00
29.50,gNB-3,,,,,,,,,,,20.00,20.00
29.60,AnchorGNB-1,220.00,280.00,110.00,550.00,550.00,550.00,280.00,10.00,20.00,220.00,,2790.00
29.60,gNB-3,,,,,,,,,,,5.00,5.00
29.70,AnchorGNB-1,20.00,220.00,160.00,550.00,550.00,350.00,350.00,220.00,40.00,0.00,,2460.00
