Timestamp(s),UE_ID,Serving_gNB,Target_gNB,Serving_SINR(dB),RSRP(dBm),Remarks
17.20,UE-4,gNB-2,gNB-3,-5.5,-87.4,Ping-Pong
17.20,UE-10,gNB-4,gNB-3,-15.7,-93.8,Ping-Pong
17.30,UE-2,gNB-3,gNB-1,-20.0,-108.7,Ping-Pong
17.40,UE-4,gNB-3,gNB-1,-12.7,-96.9,Ping-Pong
17.50,UE-1,gNB-2,gNB-1,-20.0,-107.1,Ping-Pong
17.50,UE-6,gNB-2,gNB-1,-20.0,-103.0,Ping-Pong
17.50,UE-8,gNB-3,gNB-1,-13.3,-99.3,Ping-Pong
17.60,UE-7,gNB-4,gNB-3,-20.0,-105.2,Ping-Pong
17.70,UE-3,gNB-1,gNB-2,-11.8,-98.0,Ping-Pong
17.80,UE-9,gNB-3,gNB-4,-4.8,-89.8,Ping-Pong
17.90,UE-6,gNB-1,gNB-3,-2.7,-87.4,Ping-Pong
17.90,UE-8,gNB-1,gNB-3,-16.9,-103.1,Ping-Pong
18.10,UE-3,gNB-2,gNB-1,-20.0,-109.6,Ping-Pong
18.20,UE-9,gNB-4,gNB-3,-20.0,-110.9,Ping-Pong
18.50,UE-1,gNB-1,gNB-2,4.6,-81.7,Ping-Pong
18.80,UE-1,gNB-2,gNB-1,-20.0,-107.2,Ping-Pong
19.10,UE-11,gNB-3,gNB-4,-6.7,-93.3,Ping-Pong
19.20,UE-2,gNB-1,gNB-3,-15.8,-100.8,Ping-Pong
19.20,UE-9,gNB-3,gNB-4,14.0,-72.8,Ping-Pong
19.30,UE-11,gNB-4,gNB-3,-20.0,-111.1,Ping-Pong
19.40,UE-2,gNB-3,gNB-1,-13.2,-96.7,Ping-Pong
19.40,UE-6,gNB-3,gNB-1,-10.1,-95.2,Ping-Pong
19.50,UE-11,gNB-3,gNB-4,23.7,-62.7,Ping-Pong
19.60,UE-5,gNB-1,gNB-2,-10.4,-95.6,Ping-Pong
19.70,UE-6,gNB-1,gNB-4,-8.2,-92.9,Ping-Pong
19.70,UE-11,gNB-4,gNB-3,-16.1,-102.1,Ping-Pong
19.90,UE-2,gNB-1,gNB-3,-9.9,-96.6,Ping-Pong
19.90,UE-9,gNB-4,gNB-3,-11.1,-97.2,Ping-Pong
20.00,UE-6,gNB-4,gNB-2,-20.0,-107.6,Ping-Pong
20.10,UE-2,gNB-3,gNB-1,-9.6,-95.8,Ping-Pong
20.10,UE-9,gNB-3,gNB-4,-6.8,-89.8,Ping-Pong
20.30,UE-2,gNB-1,gNB-2,-9.2,-94.8,Ping-Pong
20.30,UE-3,gNB-1,gNB-2,-11.9,-96.5,Ping-Pong
20.30,UE-6,gNB-2,gNB-1,3.4,-83.3,Ping-Pong
20.30,UE-7,gNB-3,gNB-4,-12.3,-98.7,Ping-Pong
20.30,UE-8,gNB-3,gNB-4,-7.3,-88.5,Ping-Pong
20.30,UE-10,gNB-3,gNB-4,-8.9,-91.9,Ping-Pong
20.40,UE-1,gNB-1,gNB-2,-14.1,-96.6,Ping-Pong
20.50,UE-4,gNB-1,gNB-2,-20.0,-109.0,Ping-Pong
20.50,UE-8,gNB-4,gNB-2,-14.2,-99.0,Ping-Pong
20.60,UE-9,gNB-4,gNB-2,-6.0,-92.7,Ping-Pong
20.80,UE-11,gNB-3,gNB-4,-12.2,-97.9,Ping-Pong
20.90,UE-8,gNB-2,gNB-4,-20.0,-109.5,Ping-Pong
21.00,UE-6,gNB-1,gNB-4,-18.5,-98.9,Ping-Pong
21.10,UE-9,gNB-2,gNB-4,-20.0,-107.4,Ping-Pong
21.30,UE-6,gNB-4,gNB-2,1.6,-83.1,Ping-Pong
21.40,UE-7,gNB-4,gNB-2,-1.3,-85.5,Ping-Pong
21.50,UE-6,gNB-2,gNB-4,-5.7,-92.3,Ping-Pong
21.60,UE-5,gNB-2,gNB-4,3.7,-82.0,Ping-Pong
21.70,UE-7,gNB-2,gNB-4,-20.0,-88.8,Ping-Pong
21.80,UE-5,gNB-4,gNB-2,-8.6,-85.8,Ping-Pong
22.20,UE-5,gNB-2,gNB-4,-8.9,-94.7,Ping-Pong
22.20,UE-6,gNB-4,gNB-2,-6.8,-92.5,Ping-Pong
22.20,UE-7,gNB-4,gNB-2,-0.1,-85.8,Ping-Pong
22.20,UE-8,gNB-4,gNB-2,-4.1,-90.8,Ping-Pong
22.40,UE-5,gNB-4,gNB-2,0.4,-85.4,Ping-Pong
22.40,UE-7,gNB-2,gNB-4,-8.3,-89.2,Ping-Pong
22.60,UE-8,gNB-2,gNB-4,-13.4,-99.3,Ping-Pong
22.90,UE-6,gNB-2,gNB-4,-12.1,-93.8,Ping-Pong
22.90,UE-7,gNB-4,gNB-3,17.2,-67.7,Ping-Pong
23.10,UE-1,gNB-2,gNB-1,-14.6,-95.7,Ping-Pong
23.10,UE-3,gNB-2,gNB-1,-16.8,-102.6,Ping-Pong
23.10,UE-5,gNB-2,gNB-1,-16.9,-101.1,Ping-Pong
23.10,UE-7,gNB-3,gNB-4,-20.0,-108.1,Ping-Pong
23.10,UE-8,gNB-4,gNB-2,-20.0,-112.2,Ping-Pong
23.20,UE-9,gNB-4,gNB-3,-5.8,-86.4,Ping-Pong
23.30,UE-2,gNB-2,gNB-1,-16.6,-101.3,Ping-Pong
23.30,UE-5,gNB-1,gNB-3,-5.2,-90.7,Ping-Pong
23.30,UE-7,gNB-4,gNB-3,-20.0,-117.9,Ping-Pong
23.30,UE-8,gNB-2,gNB-3,-20.0,-109.3,Ping-Pong
23.30,UE-10,gNB-4,gNB-3,-12.4,-95.5,Ping-Pong
23.30,UE-11,gNB-4,gNB-3,-20.0,-103.3,Ping-Pong
23.40,UE-4,gNB-2,gNB-1,-0.4,-85.9,Ping-Pong
23.70,UE-3,gNB-1,gNB-2,-4.7,-88.3,Ping-Pong
23.70,UE-6,gNB-4,gNB-3,-16.4,-101.0,Ping-Pong
23.80,UE-5,gNB-3,gNB-1,-6.6,-91.8,Ping-Pong
23.80,UE-7,gNB-3,gNB-4,-9.0,-84.5,Ping-Pong
23.90,UE-3,gNB-2,gNB-1,-20.0,-103.0,Ping-Pong
23.90,UE-4,gNB-1,gNB-2,6.3,-80.3,Ping-Pong
24.00,UE-7,gNB-4,gNB-3,-20.0,-108.4,Ping-Pong
24.20,UE-7,gNB-3,gNB-1,2.5,-80.9,Ping-Pong
24.50,UE-4,gNB-2,gNB-1,-20.0,-102.5,Ping-Pong
24.60,UE-6,gNB-3,gNB-1,-10.0,-94.4,Ping-Pong
24.80,UE-6,gNB-1,gNB-3,8.4,-74.9,Ping-Pong
24.90,UE-7,gNB-1,gNB-3,-9.0,-94.3,Ping-Pong
24.90,UE-8,gNB-3,gNB-1,8.2,-78.2,Ping-Pong
25.10,UE-8,gNB-1,gNB-3,-18.3,-103.5,Ping-Pong
25.40,UE-6,gNB-3,gNB-4,-12.0,-97.5,Ping-Pong
25.90,UE-6,gNB-4,gNB-2,-7.7,-90.2,Ping-Pong
26.10,UE-1,gNB-1,gNB-2,-20.0,-105.3,Ping-Pong
26.10,UE-7,gNB-3,gNB-4,-18.2,-101.6,Ping-Pong
26.10,UE-9,gNB-3,gNB-4,-8.2,-93.2,Ping-Pong
26.10,UE-10,gNB-3,gNB-4,-18.8,-100.6,Ping-Pong
26.20,UE-11,gNB-3,gNB-4,-20.0,-107.3,Ping-Pong
26.30,UE-4,gNB-1,gNB-2,-9.7,-95.8,Ping-Pong
26.40,UE-11,gNB-4,gNB-2,-1.3,-87.9,Ping-Pong
26.50,UE-6,gNB-2,gNB-4,-15.3,-101.1,Ping-Pong
26.50,UE-8,gNB-3,gNB-2,-17.4,-100.5,Ping-Pong
26.60,UE-4,gNB-2,gNB-4,-13.3,-97.7,Ping-Pong
26.60,UE-5,gNB-1,gNB-2,2.3,-82.3,Ping-Pong
26.70,UE-1,gNB-2,gNB-1,11.7,-74.7,Ping-Pong
26.70,UE-3,gNB-1,gNB-2,-10.6,-92.8,Ping-Pong
26.80,UE-4,gNB-4,gNB-1,-14.8,-95.3,Ping-Pong
26.80,UE-11,gNB-2,gNB-4,-13.7,-93.8,Ping-Pong
27.00,UE-4,gNB-1,gNB-2,-15.0,-101.1,Ping-Pong
27.10,UE-1,gNB-1,gNB-2,-20.0,-101.8,Ping-Pong
27.10,UE-2,gNB-1,gNB-2,-20.0,-99.1,Ping-Pong
27.10,UE-8,gNB-2,gNB-4,-15.7,-100.5,Ping-Pong
27.50,UE-8,gNB-4,gNB-2,-12.4,-98.9,Ping-Pong
27.80,UE-9,gNB-4,gNB-2,-1.1,-83.5,Ping-Pong
27.90,UE-6,gNB-4,gNB-2,9.0,-76.0,Ping-Pong
28.00,UE-8,gNB-2,gNB-4,-14.3,-100.0,Ping-Pong
28.10,UE-5,gNB-2,gNB-1,-5.1,-91.7,Ping-Pong
